Loading val dataloader successfully! -- 8.867563009262085
Loading Train dataloader successfully! -- 176.7682192325592
Loading Test dataloader successfully! -- 0.9259908199310303
Loading val dataloader successfully! -- 8.918102741241455
Loading Train dataloader successfully! -- 177.61992597579956
Loading Test dataloader successfully! -- 0.0978853702545166
Starting training process...
Epoch: [0][275/1260]	Time 4.578s (4.578s)	Speed 3.5 samples/s	Data 0.008s (0.027s)	Loss 219.37189 (247.22926)	Accuracy 0.625 (0.570)	 Cls Loss: 0.63693	 loss_cstency: 36.76206
Epoch: [0][280/1260]	Time 4.566s (4.578s)	Speed 3.5 samples/s	Data 0.008s (0.027s)	Loss 195.18925 (246.41098)	Accuracy 0.438 (0.569)	 Cls Loss: 0.66490	 loss_cstency: 33.26771
Epoch: [0][285/1260]	Time 4.573s (4.578s)	Speed 3.5 samples/s	Data 0.008s (0.026s)	Loss 201.68817 (245.78761)	Accuracy 0.625 (0.571)	 Cls Loss: 0.65187	 loss_cstency: 36.26262
Epoch: [0][290/1260]	Time 4.601s (4.578s)	Speed 3.5 samples/s	Data 0.008s (0.026s)	Loss 191.15495 (245.00912)	Accuracy 0.750 (0.573)	 Cls Loss: 0.69320	 loss_cstency: 34.14698
Epoch: [0][295/1260]	Time 4.587s (4.578s)	Speed 3.5 samples/s	Data 0.008s (0.026s)	Loss 184.18052 (244.06485)	Accuracy 0.375 (0.573)	 Cls Loss: 0.66554	 loss_cstency: 31.56292
Epoch: [0][300/1260]	Time 4.558s (4.578s)	Speed 3.5 samples/s	Data 0.008s (0.025s)	Loss 176.87599 (243.41346)	Accuracy 0.688 (0.575)	 Cls Loss: 0.62336	 loss_cstency: 32.12982
Epoch: [0][305/1260]	Time 4.551s (4.578s)	Speed 3.5 samples/s	Data 0.008s (0.025s)	Loss 195.13711 (242.67349)	Accuracy 0.625 (0.576)	 Cls Loss: 0.64145	 loss_cstency: 33.22727
Epoch: [0][310/1260]	Time 4.591s (4.578s)	Speed 3.5 samples/s	Data 0.008s (0.025s)	Loss 201.96131 (241.84562)	Accuracy 0.688 (0.578)	 Cls Loss: 0.63641	 loss_cstency: 36.24468
Epoch: [0][315/1260]	Time 4.589s (4.578s)	Speed 3.5 samples/s	Data 0.008s (0.025s)	Loss 198.53227 (241.10750)	Accuracy 0.875 (0.580)	 Cls Loss: 0.62368	 loss_cstency: 31.35518
Epoch: [0][320/1260]	Time 4.601s (4.578s)	Speed 3.5 samples/s	Data 0.008s (0.024s)	Loss 208.64771 (240.28980)	Accuracy 0.688 (0.581)	 Cls Loss: 0.60145	 loss_cstency: 36.02584
Epoch: [0][325/1260]	Time 4.552s (4.578s)	Speed 3.5 samples/s	Data 0.008s (0.024s)	Loss 186.71674 (239.57928)	Accuracy 0.625 (0.583)	 Cls Loss: 0.67946	 loss_cstency: 33.26184
Epoch: [0][330/1260]	Time 4.572s (4.578s)	Speed 3.5 samples/s	Data 0.008s (0.024s)	Loss 201.50650 (239.09164)	Accuracy 0.562 (0.584)	 Cls Loss: 0.69075	 loss_cstency: 31.83536
